origin,modern
"Ratcliffe, my lord, ’tis I.","Ratcliffe, my lord, it’s me."
The early village cock Hath twice done salutation to the morn.,The rooster has already crowed twice.
Your friends are up and buckle on their armor.,Your friends are up and buckling on their armor.
"O Ratcliffe, I have dreamed a fearful dream!","Oh Ratcliffe, I had a terrifying dream!"
"What think’st thou, will our friends prove all true?","What do you think, will my friends prove loyal?"
"No doubt, my lord.","No doubt, my lord."
"By the apostle Paul, shadows tonight Have struck more terror to the soul of Richard Than can the substance of ten thousand soldiers Armed in proof and led by shallow Richmond.","By St. Paul, ghosts have struck more terror in my soul tonight than ten thousand of worthless Richmond’s soldiers could, dressed up in their most sword-proof armor."
Tis not yet near day.,It’s not yet daylight.
"Come, go with me; Under our tents I’ll play the eavesdropper To see if any mean to shrink from me.",Come with me; I’ll spy under the tents to see if any of my own people plan to desert me.
"Good morrow, Richmond.","Good morning, Richmond."
"Cry mercy, lords and watchful gentlemen, That you have ta'en a tardy sluggard here.","Pardon me, lords and gentlemen who stayed awake."
"How have you slept, my lord?","How did you sleep, my lord?"
"The sweetest sleep and fairest-boding dreams That ever entered in a drowsy head Have I since your departure had, my lords.","Since you left, I’ve been enjoying the sweetest sleep and most promising dreams I’ve ever had, my lords."
Methought their souls whose bodies Richard murdered Came to my tent and cried on victory.,I dreamed the souls of the people Richard murdered came to my tent and promised me victory.
"I promise you, my soul is very jocund In the remembrance of so fair a dream.","I tell you, I feel very jolly remembering such a beautiful dream."
"How far into the morning is it, lords?","How late is it, lords?"
Upon the stroke of four.,It’s almost four.
"Why, then ’tis time to arm and give direction.","Why, then, it’s time to put on my armor and instruct the troops. "
God and our good cause fight upon our side.,We have God and a good cause on our side.
"The prayers of holy saints and wrongèd souls, Like high-reared bulwarks, stand before our faces.",The prayers of saints and those that Richard wronged support us like high-walled fortresses.
"Richard except, those whom we fight against Had rather have us win than him they follow.","Other than Richard, even those whom we fight against would rather we won."
For what is he they follow?,Because who is this man they follow?
"If you do sweat to put a tyrant down, You sleep in peace, the tyrant being slain.","If you struggle to bring down a tyrant, you will sleep peacefully when the tyrant is killed."
"If you do fight against your country’s foes, Your country’s fat shall pay your pains the hire.","When you fight against your country’s enemies, you will be paid for your efforts with your country’s wealth."
"If you do fight in safeguard of your wives, Your wives shall welcome home the conquerors.","If you fight to protect your wives, your wives will welcome you home as conquerors."
"If you do free your children from the sword, Your children’s children quits it in your age.","When you free your children from the sword, your grandchildren will repay you in your old age."
"Then, in the name of God and all these rights, Advance your standards.","So, in the name of God and all the good that will come of this "
"I would they were, that I might die at once, For now they kill me with a living death.","I wish they were, so that I could die right now, because, at this point, I live a living death."
"I never sued to friend, nor enemy; My tongue could never learn sweet smoothing word.",I never tried to win over a friend or enemy with sweet words.
"If thy revengeful heart cannot forgive, Lo, here I lend thee this sharp-pointed sword, Which if thou please to hide in this true breast And let the soul forth that adoreth thee, I lay it naked to the deadly stroke And humbly beg the death upon my knee.","If your vengeful heart can’t forgive me, here—take my sword and bury it in my heart so that my soul, which adores you, can be free."
"Nay, do not pause; for I did kill King Henry— But ’twas thy beauty that provokèd me.","No, don’t pause, because I "
What said Northumberland as touching Richmond?,What did Northumberland say about Richmond?
That he was never trainèd up in arms.,That he was never trained as a soldier.
He said the truth.,That’s true.
And what said Surrey then?,And what did Surrey say to that?
"He smiled and said “The better for our purpose.” He was in the right, and so indeed it is.","He smiled and said, “The better for us.” He’s right, and that’s how it is."
Tell the clock there.,Read the time there.
Give me a calendar.,Give me an almanac.
"Not I, my lord.","I didn’t, my lord."
Ratcliffe!,Ratcliffe!
My lord.,My lord?
The sun will not be seen today.,The sun will not appear today.
The sky doth frown and lour upon our army.,The sky frowns and scowls on our army.
I would these dewy tears were from the ground.,I wish there wasn’t so much dew on the ground.
Not shine today?,"So, the sun won’t shine today!"
"Arm, arm, my lord.","Get ready, my lord."
The foe vaunts in the field.,The enemy is making its appearance on the battlefield.
"Come, bustle, bustle.","Hurry, hurry—prepare my horse."
"John Duke of Norfolk, Thomas Earl of Surrey, Shall have the leading of this foot and horse.",John Duke of Norfolk and Thomas Earl of Surrey will lead the horsemen and foot soldiers.
"They thus directed, we will follow In the main battle, whose puissance on either side Shall be well wingèd with our chiefest horse.","I’ll follow in the center of the troop formation, which I’ll defend with my best horse, and with Saint George on my side, as well!"
"This, and Saint George to boot—What think’st thou, Norfolk?","What do you think, Norfolk?"
"A good direction, warlike sovereign.","A good plan, warrior king."
This found I on my tent this morning.,I found this pinned to my tent this morning.  
Hark!,Listen!
I hear their drum.,I hear their drums.
Amaze the welkin with your broken staves—,Startle even the sky with the sound of your lances cracking.
What says Lord Stanley?,What does Lord Stanley say?
Will he bring his power?,Will he bring his army?
"My lord, he doth deny to come.","My lord, he refuses to come."
Off with his son George’s head!,Off with his son George’s head!
"My lord, the enemy is past the marsh.","My lord, the enemy has already passed the marsh."
After the battle let George Stanley die.,Let George Stanley die after the battle.
Upon them!,Let’s go!
